measure,sex,ga_label,ga_weeks,z_level,value
length,female,35+6,35.857142857142854,2,49.8
length,female,35+6,35.857142857142854,3,51.9
length,female,36+0,36.0,-3,40.7
length,female,36+0,36.0,-2,42.9
length,female,36+0,36.0,-1,44.8
length,female,36+0,36.0,0,46.5
length,female,36+0,36.0,1,48.1
length,female,36+0,36.0,2,49.9
length,female,36+0,36.0,3,52.0
length,female,36+1,36.142857142857146,-3,40.8
length,female,36+1,36.142857142857146,-2,43.0
length,female,36+1,36.142857142857146,-1,44.9
length,female,36+1,36.142857142857146,0,46.6
length,female,36+1,36.142857142857146,1,48.3
length,female,36+1,36.142857142857146,2,50.0
length,female,36+1,36.142857142857146,3,52.1
length,female,36+2,36.285714285714285,-3,41.0
length,female,36+2,36.285714285714285,-2,43.2
length,female,36+2,36.285714285714285,-1,45.0
length,female,36+2,36.285714285714285,0,46.7
length,female,36+2,36.285714285714285,1,48.4
length,female,36+2,36.285714285714285,2,50.1
length,female,36+2,36.285714285714285,3,52.2
length,female,36+3,36.42857142857143,-3,41.1
length,female,36+3,36.42857142857143,-2,43.3
length,female,36+3,36.42857142857143,-1,45.1
length,female,36+3,36.42857142857143,0,46.8
length,female,36+3,36.42857142857143,1,48.5
length,female,36+3,36.42857142857143,2,50.2
length,female,36+3,36.42857142857143,3,52.3
length,female,36+4,36.57142857142857,-3,41.3
length,female,36+4,36.57142857142857,-2,43.4
length,female,36+4,36.57142857142857,-1,45.3
length,female,36+4,36.57142857142857,0,47.0
length,female,36+4,36.57142857142857,1,48.6
length,female,36+4,36.57142857142857,2,50.4
length,female,36+4,36.57142857142857,3,52.4
length,female,36+5,36.714285714285715,-3,41.4
length,female,36+5,36.714285714285715,-2,43.5
length,female,36+5,36.714285714285715,-1,45.4
length,female,36+5,36.714285714285715,0,47.1
length,female,36+5,36.714285714285715,1,48.7
length,female,36+5,36.714285714285715,2,50.5
length,female,36+5,36.714285714285715,3,52.5
length,female,36+6,36.857142857142854,-3,41.5
length,female,36+6,36.857142857142854,-2,43.7
length,female,36+6,36.857142857142854,-1,45.5
length,female,36+6,36.857142857142854,0,47.2
length,female,36+6,36.857142857142854,1,48.8
length,female,36+6,36.857142857142854,2,50.6
length,female,36+6,36.857142857142854,3,52.6
length,female,37+0,37.0,-3,41.6
length,female,37+0,37.0,-2,43.8
length,female,37+0,37.0,-1,45.6
length,female,37+0,37.0,0,47.3
length,female,37+0,37.0,1,48.9
length,female,37+0,37.0,2,50.7
length,female,37+0,37.0,3,52.7
length,female,37+1,37.142857142857146,-3,41.8
length,female,37+1,37.142857142857146,-2,43.9
length,female,37+1,37.142857142857146,-1,45.7
length,female,37+1,37.142857142857146,0,47.4
length,female,37+1,37.142857142857146,1,49.0
length,female,37+1,37.142857142857146,2,50.8
length,female,37+1,37.142857142857146,3,52.8
length,female,37+2,37.285714285714285,-3,41.9
length,female,37+2,37.285714285714285,-2,44.0
length,female,37+2,37.285714285714285,-1,45.8
length,female,37+2,37.285714285714285,0,47.5
length,female,37+2,37.285714285714285,1,49.1
length,female,37+2,37.285714285714285,2,50.9
length,female,37+2,37.285714285714285,3,52.9
length,female,37+3,37.42857142857143,-3,42.0
length,female,37+3,37.42857142857143,-2,44.1
length,female,37+3,37.42857142857143,-1,45.9
length,female,37+3,37.42857142857143,0,47.6
length,female,37+3,37.42857142857143,1,49.2
length,female,37+3,37.42857142857143,2,51.0
length,female,37+3,37.42857142857143,3,53.0
length,female,37+4,37.57142857142857,-3,42.1
length,female,37+4,37.57142857142857,-2,44.2
length,female,37+4,37.57142857142857,-1,46.1
length,female,37+4,37.57142857142857,0,47.7
length,female,37+4,37.57142857142857,1,49.3
length,female,37+4,37.57142857142857,2,51.0
length,female,37+4,37.57142857142857,3,53.0
length,female,37+5,37.714285714285715,-3,42.2
length,female,37+5,37.714285714285715,-2,44.4
length,female,37+5,37.714285714285715,-1,46.2
length,female,37+5,37.714285714285715,0,47.8
length,female,37+5,37.714285714285715,1,49.4
length,female,37+5,37.714285714285715,2,51.1
length,female,37+5,37.714285714285715,3,53.1
length,female,37+6,37.857142857142854,-3,42.3
length,female,37+6,37.857142857142854,-2,44.5
length,female,37+6,37.857142857142854,-1,46.3
length,female,37+6,37.857142857142854,0,47.9
length,female,37+6,37.857142857142854,1,49.5
length,female,37+6,37.857142857142854,2,51.2
length,female,37+6,37.857142857142854,3,53.2
length,female,38+0,38.0,-3,42.5
length,female,38+0,38.0,-2,44.6
length,female,38+0,38.0,-1,46.4
length,female,38+0,38.0,0,48.0
length,female,38+0,38.0,1,49.6
length,female,38+0,38.0,2,51.3
length,female,38+0,38.0,3,53.3
length,female,38+1,38.142857142857146,-3,42.6
length,female,38+1,38.142857142857146,-2,44.7
length,female,38+1,38.142857142857146,-1,46.5
length,female,38+1,38.142857142857146,0,48.1
length,female,38+1,38.142857142857146,1,49.7
length,female,38+1,38.142857142857146,2,51.4
length,female,38+1,38.142857142857146,3,53.4
length,female,38+2,38.285714285714285,-3,42.7
length,female,38+2,38.285714285714285,-2,44.8
length,female,38+2,38.285714285714285,-1,46.6
length,female,38+2,38.285714285714285,0,48.2
length,female,38+2,38.285714285714285,1,49.8
length,female,38+2,38.285714285714285,2,51.5
length,female,38+2,38.285714285714285,3,53.5
length,female,38+3,38.42857142857143,-3,42.8
length,female,38+3,38.42857142857143,-2,44.9
length,female,38+3,38.42857142857143,-1,46.7
length,female,38+3,38.42857142857143,0,48.3
length,female,38+3,38.42857142857143,1,49.9
length,female,38+3,38.42857142857143,2,51.6
length,female,38+3,38.42857142857143,3,53.5
length,female,38+4,38.57142857142857,-3,42.9
length,female,38+4,38.57142857142857,-2,45.0
length,female,38+4,38.57142857142857,-1,46.8
length,female,38+4,38.57142857142857,0,48.4
