measure,sex,ga_label,ga_weeks,z_level,value
weight,male,35+3,35.42857142857143,0,2.57
weight,male,35+3,35.42857142857143,1,3.0
weight,male,35+3,35.42857142857143,2,3.48
weight,male,35+3,35.42857142857143,3,4.07
weight,male,35+4,35.57142857142857,-3,1.29
weight,male,35+4,35.57142857142857,-2,1.78
weight,male,35+4,35.57142857142857,-1,2.2
weight,male,35+4,35.57142857142857,0,2.6
weight,male,35+4,35.57142857142857,1,3.03
weight,male,35+4,35.57142857142857,2,3.51
weight,male,35+4,35.57142857142857,3,4.1
weight,male,35+5,35.714285714285715,-3,1.32
weight,male,35+5,35.714285714285715,-2,1.82
weight,male,35+5,35.714285714285715,-1,2.23
weight,male,35+5,35.714285714285715,0,2.63
weight,male,35+5,35.714285714285715,1,3.06
weight,male,35+5,35.714285714285715,2,3.54
weight,male,35+5,35.714285714285715,3,4.13
weight,male,35+6,35.857142857142854,-3,1.36
weight,male,35+6,35.857142857142854,-2,1.85
weight,male,35+6,35.857142857142854,-1,2.26
weight,male,35+6,35.857142857142854,0,2.66
weight,male,35+6,35.857142857142854,1,3.09
weight,male,35+6,35.857142857142854,2,3.57
weight,male,35+6,35.857142857142854,3,4.16
weight,male,36+0,36.0,-3,1.39
weight,male,36+0,36.0,-2,1.88
weight,male,36+0,36.0,-1,2.29
weight,male,36+0,36.0,0,2.69
weight,male,36+0,36.0,1,3.12
weight,male,36+0,36.0,2,3.6
weight,male,36+0,36.0,3,4.19
weight,male,36+1,36.142857142857146,-3,1.42
weight,male,36+1,36.142857142857146,-2,1.91
weight,male,36+1,36.142857142857146,-1,2.33
weight,male,36+1,36.142857142857146,0,2.72
weight,male,36+1,36.142857142857146,1,3.15
weight,male,36+1,36.142857142857146,2,3.63
weight,male,36+1,36.142857142857146,3,4.22
weight,male,36+2,36.285714285714285,-3,1.45
weight,male,36+2,36.285714285714285,-2,1.94
weight,male,36+2,36.285714285714285,-1,2.36
weight,male,36+2,36.285714285714285,0,2.75
weight,male,36+2,36.285714285714285,1,3.18
weight,male,36+2,36.285714285714285,2,3.66
weight,male,36+2,36.285714285714285,3,4.25
weight,male,36+3,36.42857142857143,-3,1.48
weight,male,36+3,36.42857142857143,-2,1.97
weight,male,36+3,36.42857142857143,-1,2.38
weight,male,36+3,36.42857142857143,0,2.78
weight,male,36+3,36.42857142857143,1,3.21
weight,male,36+3,36.42857142857143,2,3.69
weight,male,36+3,36.42857142857143,3,4.28
weight,male,36+4,36.57142857142857,-3,1.51
weight,male,36+4,36.57142857142857,-2,2.0
weight,male,36+4,36.57142857142857,-1,2.41
weight,male,36+4,36.57142857142857,0,2.81
weight,male,36+4,36.57142857142857,1,3.24
weight,male,36+4,36.57142857142857,2,3.72
weight,male,36+4,36.57142857142857,3,4.3
weight,male,36+5,36.714285714285715,-3,1.54
weight,male,36+5,36.714285714285715,-2,2.03
weight,male,36+5,36.714285714285715,-1,2.44
weight,male,36+5,36.714285714285715,0,2.84
weight,male,36+5,36.714285714285715,1,3.26
weight,male,36+5,36.714285714285715,2,3.75
weight,male,36+5,36.714285714285715,3,4.33
weight,male,36+6,36.857142857142854,-3,1.57
weight,male,36+6,36.857142857142854,-2,2.06
weight,male,36+6,36.857142857142854,-1,2.47
weight,male,36+6,36.857142857142854,0,2.87
weight,male,36+6,36.857142857142854,1,3.29
weight,male,36+6,36.857142857142854,2,3.78
weight,male,36+6,36.857142857142854,3,4.36
weight,male,37+0,37.0,-3,1.59
weight,male,37+0,37.0,-2,2.08
weight,male,37+0,37.0,-1,2.5
weight,male,37+0,37.0,0,2.89
weight,male,37+0,37.0,1,3.32
weight,male,37+0,37.0,2,3.8
weight,male,37+0,37.0,3,4.39
weight,male,37+1,37.142857142857146,-3,1.62
weight,male,37+1,37.142857142857146,-2,2.11
weight,male,37+1,37.142857142857146,-1,2.53
weight,male,37+1,37.142857142857146,0,2.92
weight,male,37+1,37.142857142857146,1,3.35
weight,male,37+1,37.142857142857146,2,3.83
weight,male,37+1,37.142857142857146,3,4.41
weight,male,37+2,37.285714285714285,-3,1.65
weight,male,37+2,37.285714285714285,-2,2.14
weight,male,37+2,37.285714285714285,-1,2.55
weight,male,37+2,37.285714285714285,0,2.95
weight,male,37+2,37.285714285714285,1,3.37
weight,male,37+2,37.285714285714285,2,3.86
weight,male,37+2,37.285714285714285,3,4.44
weight,male,37+3,37.42857142857143,-3,1.68
weight,male,37+3,37.42857142857143,-2,2.17
weight,male,37+3,37.42857142857143,-1,2.58
weight,male,37+3,37.42857142857143,0,2.97
weight,male,37+3,37.42857142857143,1,3.4
weight,male,37+3,37.42857142857143,2,3.88
weight,male,37+3,37.42857142857143,3,4.46
weight,male,37+4,37.57142857142857,-3,1.7
weight,male,37+4,37.57142857142857,-2,2.19
weight,male,37+4,37.57142857142857,-1,2.61
weight,male,37+4,37.57142857142857,0,3.0
weight,male,37+4,37.57142857142857,1,3.43
weight,male,37+4,37.57142857142857,2,3.91
weight,male,37+4,37.57142857142857,3,4.49
weight,male,37+5,37.714285714285715,-3,1.73
weight,male,37+5,37.714285714285715,-2,2.22
weight,male,37+5,37.714285714285715,-1,2.63
weight,male,37+5,37.714285714285715,0,3.03
