measure,sex,ga_label,ga_weeks,z_level,value
weight,female,53,53.0,0.0,5.6
weight,female,54,54.0,0.0,5.76
weight,female,55,55.0,0.0,5.92
weight,female,56,56.0,0.0,6.07
weight,female,57,57.0,0.0,6.21
weight,female,58,58.0,0.0,6.35
weight,female,59,59.0,0.0,6.49
weight,female,60,60.0,0.0,6.62
weight,female,61,61.0,0.0,6.75
weight,female,62,62.0,0.0,6.87
weight,female,63,63.0,0.0,6.99
weight,female,64,64.0,0.0,7.11
weight,female,27,27.0,1.0,0.75
weight,female,28,28.0,1.0,0.92
weight,female,29,29.0,1.0,1.1
weight,female,30,30.0,1.0,1.3
weight,female,31,31.0,1.0,1.51
weight,female,32,32.0,1.0,1.72
weight,female,33,33.0,1.0,1.94
weight,female,34,34.0,1.0,2.17
weight,female,35,35.0,1.0,2.41
weight,female,36,36.0,1.0,2.65
weight,female,37,37.0,1.0,2.89
weight,female,38,38.0,1.0,3.13
weight,female,39,39.0,1.0,3.37
weight,female,40,40.0,1.0,3.61
weight,female,41,41.0,1.0,3.84
weight,female,42,42.0,1.0,4.08
weight,female,43,43.0,1.0,4.31
weight,female,44,44.0,1.0,4.54
weight,female,45,45.0,1.0,4.76
weight,female,46,46.0,1.0,4.98
weight,female,47,47.0,1.0,5.19
weight,female,48,48.0,1.0,5.4
weight,female,49,49.0,1.0,5.61
weight,female,50,50.0,1.0,5.81
weight,female,51,51.0,1.0,6.0
weight,female,52,52.0,1.0,6.19
weight,female,53,53.0,1.0,6.38
weight,female,54,54.0,1.0,6.56
weight,female,55,55.0,1.0,6.73
weight,female,56,56.0,1.0,6.9
weight,female,57,57.0,1.0,7.06
weight,female,58,58.0,1.0,7.22
weight,female,59,59.0,1.0,7.38
weight,female,60,60.0,1.0,7.53
weight,female,61,61.0,1.0,7.67
weight,female,62,62.0,1.0,7.81
weight,female,63,63.0,1.0,7.95
weight,female,64,64.0,1.0,8.08
weight,female,27,27.0,2.0,0.93
weight,female,28,28.0,2.0,1.12
weight,female,29,29.0,2.0,1.33
weight,female,30,30.0,2.0,1.55
weight,female,31,31.0,2.0,1.79
weight,female,32,32.0,2.0,2.03
weight,female,33,33.0,2.0,2.29
weight,female,34,34.0,2.0,2.55
weight,female,35,35.0,2.0,2.81
weight,female,36,36.0,2.0,3.08
weight,female,37,37.0,2.0,3.34
weight,female,38,38.0,2.0,3.61
weight,female,39,39.0,2.0,3.88
weight,female,40,40.0,2.0,4.15
weight,female,41,41.0,2.0,4.41
weight,female,42,42.0,2.0,4.68
weight,female,43,43.0,2.0,4.93
weight,female,44,44.0,2.0,5.19
weight,female,45,45.0,2.0,5.44
weight,female,46,46.0,2.0,5.69
weight,female,47,47.0,2.0,5.93
weight,female,48,48.0,2.0,6.16
weight,female,49,49.0,2.0,6.39
weight,female,50,50.0,2.0,6.62
weight,female,51,51.0,2.0,6.83
weight,female,52,52.0,2.0,7.05
weight,female,53,53.0,2.0,7.26
weight,female,54,54.0,2.0,7.46
weight,female,55,55.0,2.0,7.65
weight,female,56,56.0,2.0,7.85
weight,female,57,57.0,2.0,8.03
weight,female,58,58.0,2.0,8.21
weight,female,59,59.0,2.0,8.39
weight,female,60,60.0,2.0,8.56
weight,female,61,61.0,2.0,8.72
weight,female,62,62.0,2.0,8.88
weight,female,63,63.0,2.0,9.04
weight,female,64,64.0,2.0,9.19
weight,female,27,27.0,3.0,1.14
weight,female,28,28.0,3.0,1.37
weight,female,29,29.0,3.0,1.61
weight,female,30,30.0,3.0,1.86
weight,female,31,31.0,3.0,2.13
weight,female,32,32.0,3.0,2.4
weight,female,33,33.0,3.0,2.69
weight,female,34,34.0,3.0,2.98
weight,female,35,35.0,3.0,3.27
weight,female,36,36.0,3.0,3.57
weight,female,37,37.0,3.0,3.87
weight,female,38,38.0,3.0,4.17
weight,female,39,39.0,3.0,4.48
weight,female,40,40.0,3.0,4.77
weight,female,41,41.0,3.0,5.07
weight,female,42,42.0,3.0,5.36
weight,female,43,43.0,3.0,5.65
weight,female,44,44.0,3.0,5.94
weight,female,45,45.0,3.0,6.22
weight,female,46,46.0,3.0,6.49
weight,female,47,47.0,3.0,6.76
weight,female,48,48.0,3.0,7.03
weight,female,49,49.0,3.0,7.28
weight,female,50,50.0,3.0,7.54
weight,female,51,51.0,3.0,7.78
weight,female,52,52.0,3.0,8.02
weight,female,53,53.0,3.0,8.26
weight,female,54,54.0,3.0,8.48
weight,female,55,55.0,3.0,8.71
weight,female,56,56.0,3.0,8.92
weight,female,57,57.0,3.0,9.13
weight,female,58,58.0,3.0,9.34
weight,female,59,59.0,3.0,9.54
weight,female,60,60.0,3.0,9.73
weight,female,61,61.0,3.0,9.92
weight,female,62,62.0,3.0,10.1
weight,female,63,63.0,3.0,10.28
weight,female,64,64.0,3.0,10.45
