measure,sex,ga_label,ga_weeks,z_level,value
length,female,45,45.0,1.0,55.58
length,female,46,46.0,1.0,56.37
length,female,47,47.0,1.0,57.12
length,female,48,48.0,1.0,57.85
length,female,49,49.0,1.0,58.55
length,female,50,50.0,1.0,59.23
length,female,51,51.0,1.0,59.89
length,female,52,52.0,1.0,60.53
length,female,53,53.0,1.0,61.15
length,female,54,54.0,1.0,61.75
length,female,55,55.0,1.0,62.34
length,female,56,56.0,1.0,62.91
length,female,57,57.0,1.0,63.46
length,female,58,58.0,1.0,64.0
length,female,59,59.0,1.0,64.53
length,female,60,60.0,1.0,65.04
length,female,61,61.0,1.0,65.54
length,female,62,62.0,1.0,66.03
length,female,63,63.0,1.0,66.51
length,female,64,64.0,1.0,66.98
length,female,27,27.0,2.0,36.4
length,female,28,28.0,2.0,38.05
length,female,29,29.0,2.0,39.62
length,female,30,30.0,2.0,41.13
length,female,31,31.0,2.0,42.57
length,female,32,32.0,2.0,43.95
length,female,33,33.0,2.0,45.27
length,female,34,34.0,2.0,46.54
length,female,35,35.0,2.0,47.75
length,female,36,36.0,2.0,48.91
length,female,37,37.0,2.0,50.02
length,female,38,38.0,2.0,51.09
length,female,39,39.0,2.0,52.12
length,female,40,40.0,2.0,53.11
length,female,41,41.0,2.0,54.06
length,female,42,42.0,2.0,54.98
length,female,43,43.0,2.0,55.86
length,female,44,44.0,2.0,56.71
length,female,45,45.0,2.0,57.53
length,female,46,46.0,2.0,58.33
length,female,47,47.0,2.0,59.1
length,female,48,48.0,2.0,59.84
length,female,49,49.0,2.0,60.56
length,female,50,50.0,2.0,61.27
length,female,51,51.0,2.0,61.94
length,female,52,52.0,2.0,62.61
length,female,53,53.0,2.0,63.25
length,female,54,54.0,2.0,63.87
length,female,55,55.0,2.0,64.48
length,female,56,56.0,2.0,65.07
length,female,57,57.0,2.0,65.65
length,female,58,58.0,2.0,66.22
length,female,59,59.0,2.0,66.77
length,female,60,60.0,2.0,67.31
length,female,61,61.0,2.0,67.83
length,female,62,62.0,2.0,68.35
length,female,63,63.0,2.0,68.86
length,female,64,64.0,2.0,69.35
length,female,27,27.0,3.0,39.0
length,female,28,28.0,3.0,40.54
length,female,29,29.0,3.0,42.03
length,female,30,30.0,3.0,43.46
length,female,31,31.0,3.0,44.83
length,female,32,32.0,3.0,46.15
length,female,33,33.0,3.0,47.42
length,female,34,34.0,3.0,48.64
length,female,35,35.0,3.0,49.82
length,female,36,36.0,3.0,50.95
length,female,37,37.0,3.0,52.05
length,female,38,38.0,3.0,53.1
length,female,39,39.0,3.0,54.12
length,female,40,40.0,3.0,55.1
length,female,41,41.0,3.0,56.05
length,female,42,42.0,3.0,56.97
length,female,43,43.0,3.0,57.86
length,female,44,44.0,3.0,58.72
length,female,45,45.0,3.0,59.55
length,female,46,46.0,3.0,60.36
length,female,47,47.0,3.0,61.14
length,female,48,48.0,3.0,61.91
length,female,49,49.0,3.0,62.65
length,female,50,50.0,3.0,63.37
length,female,51,51.0,3.0,64.07
length,female,52,52.0,3.0,64.75
length,female,53,53.0,3.0,65.41
length,female,54,54.0,3.0,66.06
length,female,55,55.0,3.0,66.7
length,female,56,56.0,3.0,67.31
length,female,57,57.0,3.0,67.92
length,female,58,58.0,3.0,68.51
length,female,59,59.0,3.0,69.09
length,female,60,60.0,3.0,69.65
length,female,61,61.0,3.0,70.21
length,female,62,62.0,3.0,70.75
length,female,63,63.0,3.0,71.28
length,female,64,64.0,3.0,71.81
