measure,sex,ga_label,ga_weeks,z_level,value
weight,male,52,52,2,7.72
weight,male,52,52,3,8.79
weight,male,53,53,-3,4.17
weight,male,53,53,-2,4.74
weight,male,53,53,-1,5.39
weight,male,53,53,0,6.14
weight,male,53,53,1,6.98
weight,male,53,53,2,7.95
weight,male,53,53,3,9.04
weight,male,54,54,-3,4.29
weight,male,54,54,-2,4.88
weight,male,54,54,-1,5.55
weight,male,54,54,0,6.31
weight,male,54,54,1,7.18
weight,male,54,54,2,8.17
weight,male,54,54,3,9.29
weight,male,55,55,-3,4.4
weight,male,55,55,-2,5.01
weight,male,55,55,-1,5.7
weight,male,55,55,0,6.48
weight,male,55,55,1,7.37
weight,male,55,55,2,8.38
weight,male,55,55,3,9.54
weight,male,56,56,-3,4.52
weight,male,56,56,-2,5.14
weight,male,56,56,-1,5.84
weight,male,56,56,0,6.65
weight,male,56,56,1,7.56
weight,male,56,56,2,8.59
weight,male,56,56,3,9.77
weight,male,57,57,-3,4.63
weight,male,57,57,-2,5.26
weight,male,57,57,-1,5.98
weight,male,57,57,0,6.8
weight,male,57,57,1,7.74
weight,male,57,57,2,8.8
weight,male,57,57,3,10
weight,male,58,58,-3,4.73
weight,male,58,58,-2,5.38
weight,male,58,58,-1,6.12
weight,male,58,58,0,6.96
weight,male,58,58,1,7.91
weight,male,58,58,2,9
weight,male,58,58,3,10.23
weight,male,59,59,-3,4.84
weight,male,59,59,-2,5.5
weight,male,59,59,-1,6.25
weight,male,59,59,0,7.11
weight,male,59,59,1,8.08
weight,male,59,59,2,9.19
weight,male,59,59,3,10.45
weight,male,60,60,-3,4.94
weight,male,60,60,-2,5.61
weight,male,60,60,-1,6.38
weight,male,60,60,0,7.25
weight,male,60,60,1,8.25
weight,male,60,60,2,9.37
weight,male,60,60,3,10.66
weight,male,61,61,-3,5.03
weight,male,61,61,-2,5.72
weight,male,61,61,-1,6.5
weight,male,61,61,0,7.39
weight,male,61,61,1,8.4
weight,male,61,61,2,9.55
weight,male,61,61,3,10.86
weight,male,62,62,-3,5.12
weight,male,62,62,-2,5.83
weight,male,62,62,-1,6.62
weight,male,62,62,0,7.53
weight,male,62,62,1,8.56
weight,male,62,62,2,9.73
weight,male,62,62,3,11.06
weight,male,63,63,-3,5.21
weight,male,63,63,-2,5.93
weight,male,63,63,-1,6.74
weight,male,63,63,0,7.66
weight,male,63,63,1,8.71
weight,male,63,63,2,9.9
weight,male,63,63,3,11.26
weight,male,64,64,-3,5.3
weight,male,64,64,-2,6.02
weight,male,64,64,-1,6.85
weight,male,64,64,0,7.79
weight,male,64,64,1,8.85
weight,male,64,64,2,10.07
weight,male,64,64,3,11.44
