measure,sex,ga_label,ga_weeks,z_level,value
hc,female,36,36.0,1.0,32.93
hc,female,37,37.0,1.0,33.54
hc,female,38,38.0,1.0,34.13
hc,female,39,39.0,1.0,34.69
hc,female,40,40.0,1.0,35.22
hc,female,41,41.0,1.0,35.74
hc,female,42,42.0,1.0,36.23
hc,female,43,43.0,1.0,36.7
hc,female,44,44.0,1.0,37.15
hc,female,45,45.0,1.0,37.58
hc,female,46,46.0,1.0,38.0
hc,female,47,47.0,1.0,38.39
hc,female,48,48.0,1.0,38.78
hc,female,49,49.0,1.0,39.15
hc,female,50,50.0,1.0,39.51
hc,female,51,51.0,1.0,39.85
hc,female,52,52.0,1.0,40.18
hc,female,53,53.0,1.0,40.5
hc,female,54,54.0,1.0,40.81
hc,female,55,55.0,1.0,41.11
hc,female,56,56.0,1.0,41.4
hc,female,57,57.0,1.0,41.68
hc,female,58,58.0,1.0,41.95
hc,female,59,59.0,1.0,42.22
hc,female,60,60.0,1.0,42.47
hc,female,61,61.0,1.0,42.72
hc,female,62,62.0,1.0,42.96
hc,female,63,63.0,1.0,43.19
hc,female,64,64.0,1.0,43.42
hc,female,27,27.0,2.0,27.45
hc,female,28,28.0,2.0,28.3
hc,female,29,29.0,2.0,29.12
hc,female,30,30.0,2.0,29.9
hc,female,31,31.0,2.0,30.66
hc,female,32,32.0,2.0,31.38
hc,female,33,33.0,2.0,32.07
hc,female,34,34.0,2.0,32.74
hc,female,35,35.0,2.0,33.38
hc,female,36,36.0,2.0,33.99
hc,female,37,37.0,2.0,34.58
hc,female,38,38.0,2.0,35.14
hc,female,39,39.0,2.0,35.69
hc,female,40,40.0,2.0,36.21
hc,female,41,41.0,2.0,36.72
hc,female,42,42.0,2.0,37.2
hc,female,43,43.0,2.0,37.67
hc,female,44,44.0,2.0,38.12
hc,female,45,45.0,2.0,38.56
hc,female,46,46.0,2.0,38.98
hc,female,47,47.0,2.0,39.38
hc,female,48,48.0,2.0,39.77
hc,female,49,49.0,2.0,40.15
hc,female,50,50.0,2.0,40.52
hc,female,51,51.0,2.0,40.87
hc,female,52,52.0,2.0,41.22
hc,female,53,53.0,2.0,41.55
hc,female,54,54.0,2.0,41.87
hc,female,55,55.0,2.0,42.18
hc,female,56,56.0,2.0,42.48
hc,female,57,57.0,2.0,42.78
hc,female,58,58.0,2.0,43.06
hc,female,59,59.0,2.0,43.34
hc,female,60,60.0,2.0,43.61
hc,female,61,61.0,2.0,43.87
